9.33;[0];[0, 2];[1, 1];[1]
9.33;[0];[0, 2];[0, 1, 1, 1];[]
9.33;[0, 1];[];[0, 1];[0, 1, 2]
9.33;[0, 1];[];[0, 1, 1];[2]
9.33;[0, 1];[];[0, 2];[1, 1]
9.33;[0, 1];[1];[1];[0, 2]
9.33;[0, 1];[1];[0];[0, 1, 2]
9.33;[0, 1];[1];[0, 2];[1]
9.33;[0, 1];[0];[0, 1, 2];[1]
9.33;[0, 1];[0, 1];[0, 1, 2];[]
9.33;[0, 1];[0, 1, 1];[];[2]
9.33;[0, 1];[0, 1, 1];[2];[]
9.33;[0, 1];[0, 2];[];[1, 1]
9.33;[0, 1];[0, 2];[1];[1]
9.33;[0, 1];[0, 2];[1, 1];[]
9.329999999999998;[0];[0];[0, 1];[0, 1, 1, 2]
9.329999999999998;[0];[0, 1];[0];[0, 1, 1, 2]
9.329999999999998;[0, 1];[0];[0];[0, 1, 1, 2]
8.74;[0];[0];[0, 2];[0, 4]
8.74;[0];[0, 2];[0];[0, 4]
8.72;[0];[0];[0, 3];[3]
8.46;[];[0];[0, 1, 1];[0, 3]
8.46;[];[0, 1];[0, 1];[0, 3]
8.46;[0];[0];[0, 1];[0, 1, 3]
8.46;[0];[0];[0, 3];[1, 1]
8.46;[0];[0, 1];[0];[0, 1, 3]
8.46;[0];[0, 1];[0, 3];[1]
8.46;[0];[0, 1, 1];[];[0, 3]
8.46;[0];[0, 1, 1];[0, 3];[]
8.46;[0, 1];[];[0, 1];[0, 3]
8.46;[0, 1];[1];[0];[0, 3]
8.46;[0, 1];[0];[0];[0, 1, 3]
8.46;[0, 1];[0];[0, 3];[1]
8.46;[0, 1];[0, 1];[0, 3];[]
8.41;[];[0];[0, 2];[0, 1, 2]
8.41;[];[0, 1];[0, 2];[2]
8.41;[0];[0];[0, 1];[0, 2, 2]
8.41;[0];[0];[0, 1, 2];[2]
8.41;[0];[0, 1];[0];[0, 2, 2]
8.41;[0];[0, 2];[];[0, 1, 2]
8.41;[0];[0, 2];[1];[2]
8.41;[0];[0, 2];[2];[1]
8.41;[0];[0, 2];[0, 1, 2];[]
8.41;[0, 1];[];[0, 2];[2]
8.41;[0, 1];[0];[0];[0, 2, 2]
8.41;[0, 1];[0, 2];[];[2]
8.41;[0, 1];[0, 2];[2];[]
8.2;[];[0];[0, 1];[0, 1, 1, 1]
8.2;[];[0];[0, 1, 1];[1, 1]
8.2;[];[0, 1];[1];[0, 1, 1]
8.2;[];[0, 1];[0];[0, 1, 1, 1]
8.2;[];[0, 1];[0, 1, 1];[1]
8.2;[0];[0];[0];[0, 1, 1, 1, 1]
8.2;[0];[0];[0, 1, 1, 1];[1]
8.2;[0];[0, 1];[0, 1, 1, 1];[]
8.2;[0];[0, 1, 1];[];[1, 1]
8.2;[0];[0, 1, 1];[1];[1]
8.2;[0];[0, 1, 1];[1, 1];[]
8.2;[0, 1];[];[1];[0, 1, 1]
8.2;[0, 1];[];[0];[0, 1, 1, 1]
8.2;[0, 1];[];[0, 1, 1];[1]
8.2;[0, 1];[1];[];[0, 1, 1]
8.2;[0, 1];[1];[1];[1]
8.2;[0, 1];[1];[0, 1, 1];[]
8.2;[0, 1];[0];[0, 1, 1, 1];[]
8.2;[0, 1];[0, 1, 1];[];[1]
8.2;[0, 1];[0, 1, 1];[1];[]
7.609999999999999;[0];[0];[0, 1];[0, 4]
7.609999999999999;[0];[0, 1];[0];[0, 4]
7.609999999999999;[0, 1];[0];[0];[0, 4]
7.540000000000001;[];[0];[0, 2];[0, 3]
7.540000000000001;[0];[0];[0, 3];[2]
7.540000000000001;[0];[0, 2];[];[0, 3]
7.540000000000001;[0];[0, 2];[0, 3];[]
7.28;[];[0];[0, 1];[0, 1, 2]
7.28;[];[0, 1];[0];[0, 1, 2]
7.28;[0];[0];[0, 1, 2];[1]
7.28;[0];[0, 1];[0, 1, 2];[]
7.28;[0, 1];[];[0];[0, 1, 2]
7.28;[0, 1];[0];[0, 1, 2];[]
7.279999999999999;[];[0];[0, 1, 1];[2]
7.279999999999999;[];[0];[0, 2];[1, 1]
7.279999999999999;[];[0, 1];[1];[0, 2]
7.279999999999999;[];[0, 1];[0, 2];[1]
7.279999999999999;[0];[0];[0];[0, 1, 1, 2]
7.279999999999999;[0];[0, 1, 1];[];[2]
7.279999999999999;[0];[0, 1, 1];[2];[]
7.279999999999999;[0];[0, 2];[];[1, 1]
7.279999999999999;[0];[0, 2];[1];[1]
7.279999999999999;[0];[0, 2];[1, 1];[]
7.279999999999999;[0, 1];[];[1];[0, 2]
7.279999999999999;[0, 1];[];[0, 2];[1]
7.279999999999999;[0, 1];[1];[];[0, 2]
7.279999999999999;[0, 1];[1];[0, 2];[]
7.279999999999999;[0, 1];[0, 2];[];[1]
7.279999999999999;[0, 1];[0, 2];[1];[]
6.41;[];[0];[0, 1];[0, 3]
6.41;[];[0, 1];[0];[0, 3]
6.41;[0];[0];[0];[0, 1, 3]
6.41;[0];[0];[0, 3];[1]
6.41;[0];[0, 1];[0, 3];[]
6.41;[0, 1];[];[0];[0, 3]
6.41;[0, 1];[0];[0, 3];[]
6.36;[];[0];[0, 2];[2]
6.36;[0];[0];[0];[0, 2, 2]
6.36;[0];[0, 2];[];[2]
6.36;[0];[0, 2];[2];[]
6.1499999999999995;[];[];[0, 1];[0, 1, 1]
6.1499999999999995;[];[0];[0];[0, 1, 1, 1]
6.1499999999999995;[];[0];[0, 1, 1];[1]
6.1499999999999995;[];[0, 1];[];[0, 1, 1]
6.1499999999999995;[];[0, 1];[1];[1]
6.1499999999999995;[];[0, 1];[0, 1, 1];[]
6.1499999999999995;[0];[0];[0, 1, 1, 1];[]
6.1499999999999995;[0];[0, 1, 1];[];[1]
6.1499999999999995;[0];[0, 1, 1];[1];[]
6.1499999999999995;[0, 1];[];[];[0, 1, 1]
6.1499999999999995;[0, 1];[];[1];[1]
6.1499999999999995;[0, 1];[];[0, 1, 1];[]
6.1499999999999995;[0, 1];[1];[];[1]
6.1499999999999995;[0, 1];[1];[1];[]
6.1499999999999995;[0, 1];[0, 1, 1];[];[]
5.56;[0];[0];[0];[0, 4]
5.23;[];[];[0, 1];[0, 2]
5.23;[];[0];[0];[0, 1, 2]
5.23;[];[0];[0, 2];[1]
5.23;[];[0, 1];[];[0, 2]
5.23;[];[0, 1];[0, 2];[]
5.23;[0];[0];[0, 1, 2];[]
5.23;[0];[0, 2];[];[1]
5.23;[0];[0, 2];[1];[]
5.23;[0, 1];[];[];[0, 2]
5.23;[0, 1];[];[0, 2];[]
5.23;[0, 1];[0, 2];[];[]
4.36;[];[0];[0];[0, 3]
4.36;[0];[0];[0, 3];[]
4.1;[];[];[0];[0, 1, 1]
4.1;[];[];[0, 1];[1]
4.1;[];[0];[0, 1, 1];[]
4.1;[];[0, 1];[];[1]
4.1;[];[0, 1];[1];[]
4.1;[0];[0, 1, 1];[];[]
4.1;[0, 1];[];[];[1]
4.1;[0, 1];[];[1];[]
4.1;[0, 1];[1];[];[]
3.18;[];[];[0];[0, 2]
3.18;[];[0];[0, 2];[]
3.18;[0];[0, 2];[];[]
2.05;[];[];[];[0, 1]
2.05;[];[];[0, 1];[]
2.05;[];[0, 1];[];[]
2.05;[0, 1];[];[];[]
